,Ads_Langmuir_pressure,Ads_Langmuir_volume,Fracture_height,Fracture_permeability,Fracture_spacing,Fracture_width,Pore_Density,Pore_Permeability,Pore_Porosity
050,1249300000.0,1552200000.0,756660000.0,1371100000.0,879600000.0,1371300000.0,1552200000.0,963770000.0,1328100000.0
075,1316900000.0,1427500000.0,,1371300000.0,1171500000.0,1371300000.0,1427500000.0,1188600000.0,1333300000.0
100,1371300000.0,1371300000.0,991130000.0,1371300000.0,1371300000.0,1371300000.0,1371300000.0,1371300000.0,1371300000.0
125,1418600000.0,1344100000.0,,1371300000.0,1488300000.0,1371300000.0,1344100000.0,1529200000.0,1421400000.0
150,1461700000.0,1331100000.0,1182300000.0,1371300000.0,1549600000.0,1371200000.0,1331100000.0,1670400000.0,1476500000.0
200,,,1371300000.0,,,,,,
250,,,1553200000.0,,,,,,
