,Ads_Langmuir_pressure,Ads_Langmuir_volume,Fracture_height,Fracture_permeability,Fracture_spacing,Fracture_width,Pore_Density,Pore_Permeability,Pore_Porosity
050,21295000000.0,15852000000.0,23523000000.0,23523000000.0,11762000000.0,23523000000.0,15852000000.0,23523000000.0,19836000000.0
075,22701000000.0,19688000000.0,,23523000000.0,17642000000.0,23523000000.0,19688000000.0,23523000000.0,21679000000.0
100,23523000000.0,23523000000.0,23523000000.0,23523000000.0,23523000000.0,23523000000.0,23523000000.0,23523000000.0,23523000000.0
125,24062000000.0,27358000000.0,,23523000000.0,29403000000.0,23523000000.0,27358000000.0,23523000000.0,25366000000.0
150,24444000000.0,31193000000.0,23523000000.0,23523000000.0,35284000000.0,23523000000.0,31193000000.0,23523000000.0,27210000000.0
200,,,23523000000.0,,,,,,
250,,,23523000000.0,,,,,,
