,Ads_Langmuir_pressure,Ads_Langmuir_volume,Fracture_height,Fracture_permeability,Fracture_spacing,Fracture_width,Pore_Density,Pore_Permeability,Pore_Porosity
050,13112000000.0,7669900000.0,15340000000.0,15340000000.0,7669600000.0,15340000000.0,7669900000.0,15340000000.0,15744000000.0
075,14518000000.0,11505000000.0,,15340000000.0,11505000000.0,15340000000.0,11505000000.0,15340000000.0,15542000000.0
100,15340000000.0,15340000000.0,15340000000.0,15340000000.0,15340000000.0,15340000000.0,15340000000.0,15340000000.0,15340000000.0
125,15880000000.0,19175000000.0,,15340000000.0,19175000000.0,15340000000.0,19175000000.0,15340000000.0,15138000000.0
150,16261000000.0,23010000000.0,15340000000.0,15340000000.0,23010000000.0,15340000000.0,23010000000.0,15340000000.0,14936000000.0
200,,,15340000000.0,,,,,,
250,,,15340000000.0,,,,,,
