0,2.2933e+10,1.4751e+10,0,0
1,2.2931e+10,1.475e+10,1.7227e+06,8.8003e+05
2,2.2318e+10,1.4539e+10,6.1498e+08,2.1162e+08
3,2.2004e+10,1.4419e+10,9.2894e+08,3.3172e+08
4,2.1774e+10,1.4331e+10,1.1592e+09,4.1944e+08
5,2.1584e+10,1.426e+10,1.3484e+09,4.9076e+08
6,2.142e+10,1.4198e+10,1.5127e+09,5.5238e+08
7,2.1273e+10,1.4143e+10,1.66e+09,6.075e+08
8,2.1138e+10,1.4093e+10,1.7945e+09,6.5768e+08
9,2.1014e+10,1.4047e+10,1.919e+09,7.0413e+08
10,2.0897e+10,1.4003e+10,2.0356e+09,7.4759e+08
15,2.0399e+10,1.3818e+10,2.5339e+09,9.3308e+08
20,1.999e+10,1.3666e+10,2.9432e+09,1.0851e+09
25,1.9635e+10,1.3534e+10,3.298e+09,1.2164e+09
30,1.9317e+10,1.3417e+10,3.6162e+09,1.3339e+09
35,1.9025e+10,1.3309e+10,3.9077e+09,1.4414e+09
40,1.8754e+10,1.3209e+10,4.1791e+09,1.5417e+09
45,1.8497e+10,1.3114e+10,4.4353e+09,1.6368e+09
50,1.8253e+10,1.3022e+10,4.6796e+09,1.7284e+09
55,1.8019e+10,1.2934e+10,4.9139e+09,1.8172e+09
60,1.7793e+10,1.2847e+10,5.1397e+09,1.904e+09
65,1.7574e+10,1.2761e+10,5.3584e+09,1.9893e+09
70,1.7362e+10,1.2677e+10,5.5709e+09,2.0737e+09
75,1.7155e+10,1.2593e+10,5.778e+09,2.1575e+09
80,1.6953e+10,1.251e+10,5.9801e+09,2.2408e+09
85,1.6755e+10,1.2427e+10,6.1775e+09,2.3238e+09
90,1.6562e+10,1.2344e+10,6.3704e+09,2.4065e+09
95,1.6374e+10,1.2262e+10,6.559e+09,2.4889e+09
100,1.6189e+10,1.218e+10,6.7435e+09,2.5711e+09
150,1.4551e+10,1.1379e+10,8.3821e+09,3.3717e+09
200,1.3242e+10,1.0644e+10,9.6905e+09,4.107e+09
250,1.2217e+10,1.0009e+10,1.0716e+10,4.7422e+09
300,1.1426e+10,9.4848e+09,1.1507e+10,5.2659e+09
350,1.083e+10,9.0714e+09,1.2103e+10,5.6793e+09
400,1.0389e+10,8.7564e+09,1.2544e+10,5.9944e+09
450,1.0069e+10,8.5226e+09,1.2864e+10,6.2282e+09
500,9.8386e+09,8.3521e+09,1.3094e+10,6.3987e+09
550,9.6747e+09,8.2295e+09,1.3258e+10,6.5212e+09
600,9.5592e+09,8.1425e+09,1.3374e+10,6.6082e+09
650,9.4789e+09,8.0818e+09,1.3454e+10,6.669e+09
700,9.4228e+09,8.0392e+09,1.351e+10,6.7116e+09
750,9.3832e+09,8.0091e+09,1.355e+10,6.7417e+09
800,9.3554e+09,7.9879e+09,1.3577e+10,6.7629e+09
850,9.3359e+09,7.9731e+09,1.3597e+10,6.7777e+09
900,9.3225e+09,7.9628e+09,1.361e+10,6.788e+09
950,9.3137e+09,7.9561e+09,1.3619e+10,6.7947e+09
1000,9.3073e+09,7.9512e+09,1.3625e+10,6.7996e+09
1050,9.3032e+09,7.9481e+09,1.363e+10,6.8027e+09
1100,9.2999e+09,7.9455e+09,1.3633e+10,6.8053e+09
1150,9.2977e+09,7.9439e+09,1.3635e+10,6.8069e+09
1200,9.2959e+09,7.9425e+09,1.3637e+10,6.8083e+09
1250,9.2948e+09,7.9416e+09,1.3638e+10,6.8092e+09
1300,9.2939e+09,7.9409e+09,1.3639e+10,6.8098e+09
1350,9.2933e+09,7.9405e+09,1.3639e+10,6.8103e+09
1400,9.2928e+09,7.9401e+09,1.364e+10,6.8106e+09
1450,9.2924e+09,7.9398e+09,1.364e+10,6.811e+09
1500,9.2921e+09,7.9396e+09,1.3641e+10,6.8112e+09
1550,9.292e+09,7.9395e+09,1.3641e+10,6.8113e+09
1600,9.292e+09,7.9395e+09,1.3641e+10,6.8113e+09
1650,9.292e+09,7.9395e+09,1.3641e+10,6.8113e+09
1700,9.2919e+09,7.9394e+09,1.3641e+10,6.8113e+09
1750,9.2919e+09,7.9394e+09,1.3641e+10,6.8113e+09
1800,9.292e+09,7.9395e+09,1.3641e+10,6.8113e+09
1850,9.2921e+09,7.9396e+09,1.3641e+10,6.8112e+09
1900,9.2921e+09,7.9396e+09,1.3641e+10,6.8112e+09
1950,9.2921e+09,7.9396e+09,1.3641e+10,6.8112e+09
2000,9.2921e+09,7.9396e+09,1.3641e+10,6.8112e+09
2050,9.2921e+09,7.9396e+09,1.3641e+10,6.8112e+09
2100,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2150,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2200,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2250,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2300,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2350,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2400,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
2450,9.2922e+09,7.9396e+09,1.3641e+10,6.8111e+09
