0,2.2933e+10,1.4751e+10,0,0
1,2.2931e+10,1.475e+10,1.7227e+06,8.8003e+05
2,2.2875e+10,1.4729e+10,5.8039e+07,2.1458e+07
3,2.2854e+10,1.4722e+10,7.9079e+07,2.86e+07
4,2.2836e+10,1.4716e+10,9.6562e+07,3.4607e+07
5,2.2821e+10,1.4711e+10,1.1188e+08,3.9884e+07
6,2.2807e+10,1.4706e+10,1.2571e+08,4.4653e+07
7,2.2794e+10,1.4702e+10,1.3844e+08,4.9027e+07
8,2.2782e+10,1.4698e+10,1.5029e+08,5.3085e+07
9,2.2771e+10,1.4694e+10,1.6146e+08,5.6895e+07
10,2.2761e+10,1.469e+10,1.7205e+08,6.0499e+07
15,2.2714e+10,1.4674e+10,2.1895e+08,7.6281e+07
20,2.2673e+10,1.4661e+10,2.5948e+08,8.9769e+07
25,2.2637e+10,1.4649e+10,2.9621e+08,1.0196e+08
30,2.2602e+10,1.4637e+10,3.3048e+08,1.1344e+08
35,2.257e+10,1.4626e+10,3.6292e+08,1.2445e+08
40,2.2539e+10,1.4616e+10,3.9385e+08,1.3512e+08
45,2.2509e+10,1.4605e+10,4.2351e+08,1.4551e+08
50,2.2481e+10,1.4595e+10,4.5206e+08,1.5568e+08
55,2.2453e+10,1.4585e+10,4.7958e+08,1.6563e+08
60,2.2427e+10,1.4575e+10,5.0613e+08,1.7535e+08
65,2.2401e+10,1.4566e+10,5.3176e+08,1.8484e+08
70,2.2376e+10,1.4557e+10,5.5655e+08,1.9411e+08
75,2.2352e+10,1.4548e+10,5.8053e+08,2.0317e+08
80,2.2329e+10,1.4539e+10,6.0378e+08,2.1201e+08
85,2.2306e+10,1.453e+10,6.2632e+08,2.2064e+08
90,2.2285e+10,1.4522e+10,6.4819e+08,2.2907e+08
95,2.2263e+10,1.4513e+10,6.6943e+08,2.3729e+08
100,2.2243e+10,1.4505e+10,6.9007e+08,2.453e+08
150,2.2063e+10,1.4435e+10,8.6968e+08,3.1569e+08
200,2.1918e+10,1.4378e+10,1.0152e+09,3.7258e+08
250,2.1794e+10,1.433e+10,1.1391e+09,4.2052e+08
300,2.1684e+10,1.4288e+10,1.2488e+09,4.6252e+08
350,2.1585e+10,1.4251e+10,1.348e+09,5.0024e+08
400,2.1493e+10,1.4216e+10,1.4394e+09,5.3481e+08
450,2.1408e+10,1.4184e+10,1.5246e+09,5.6696e+08
500,2.1328e+10,1.4154e+10,1.6047e+09,5.9712e+08
550,2.1252e+10,1.4125e+10,1.6805e+09,6.2559e+08
600,2.118e+10,1.4098e+10,1.7526e+09,6.5261e+08
650,2.1111e+10,1.4072e+10,1.8214e+09,6.7841e+08
700,2.1045e+10,1.4048e+10,1.8876e+09,7.0319e+08
750,2.0982e+10,1.4024e+10,1.9512e+09,7.27e+08
800,2.092e+10,1.4001e+10,2.0126e+09,7.4998e+08
850,2.0861e+10,1.3979e+10,2.072e+09,7.722e+08
900,2.0803e+10,1.3957e+10,2.1295e+09,7.9369e+08
950,2.0747e+10,1.3936e+10,2.1853e+09,8.1452e+08
1000,2.0693e+10,1.3916e+10,2.2394e+09,8.3472e+08
1050,2.0641e+10,1.3896e+10,2.2922e+09,8.5441e+08
1100,2.0589e+10,1.3877e+10,2.3436e+09,8.7358e+08
1150,2.0539e+10,1.3859e+10,2.3937e+09,8.9226e+08
1200,2.049e+10,1.384e+10,2.4427e+09,9.1056e+08
1250,2.0442e+10,1.3822e+10,2.4906e+09,9.2842e+08
1300,2.0395e+10,1.3805e+10,2.5375e+09,9.459e+08
1350,2.0349e+10,1.3788e+10,2.5835e+09,9.6305e+08
1400,2.0304e+10,1.3771e+10,2.6285e+09,9.7982e+08
1450,2.026e+10,1.3755e+10,2.6727e+09,9.9628e+08
1500,2.0217e+10,1.3738e+10,2.7161e+09,1.0124e+09
1550,2.0174e+10,1.3723e+10,2.7587e+09,1.0283e+09
1600,2.0132e+10,1.3707e+10,2.8005e+09,1.0438e+09
1650,2.0091e+10,1.3692e+10,2.8416e+09,1.0591e+09
1700,2.0051e+10,1.3677e+10,2.8821e+09,1.0742e+09
1750,2.0011e+10,1.3662e+10,2.9219e+09,1.0889e+09
1800,1.9972e+10,1.3647e+10,2.9611e+09,1.1035e+09
1850,1.9933e+10,1.3633e+10,2.9997e+09,1.1178e+09
1900,1.9895e+10,1.3619e+10,3.0378e+09,1.132e+09
1950,1.9857e+10,1.3605e+10,3.0753e+09,1.1459e+09
2000,1.982e+10,1.3591e+10,3.1123e+09,1.1596e+09
2050,1.9784e+10,1.3578e+10,3.1489e+09,1.1731e+09
2100,1.9748e+10,1.3564e+10,3.185e+09,1.1865e+09
2150,1.9712e+10,1.3551e+10,3.2207e+09,1.1997e+09
2200,1.9677e+10,1.3538e+10,3.2559e+09,1.2128e+09
2250,1.9642e+10,1.3525e+10,3.2907e+09,1.2256e+09
2300,1.9608e+10,1.3512e+10,3.3251e+09,1.2384e+09
2350,1.9574e+10,1.35e+10,3.3591e+09,1.251e+09
2400,1.954e+10,1.3487e+10,3.3927e+09,1.2634e+09
